drug,region,region_id,wdeg_lo,wdeg_med,wdeg_hi,closeness_lo,closeness_med,closeness_hi,betweenness_lo,betweenness_med,betweenness_hi
KET,Lateral posterior nucleus of the thalamus,218,98.43495727967957,118.93950454571257,180.6567375447203,11.174976845501456,50.86782183044018,114.48950927027335,0.0,0.07529751172015868,0.19325640100973676
KET,Lateral preoptic area,226,164.36458965108733,184.0487601930721,210.97882097295326,26.696529377323817,125.567478312457,182.11837980058243,0.0,0.35106382978723405,0.41846375766318067
KET,Nucleus raphe pallidus,230,168.1560497563005,186.3485277956621,211.2754320728949,27.34012536293206,133.85450617269507,183.03801646049916,0.0,0.0,0.3842769563649477
KET,Anterior tegmental nucleus,231,97.82454929984172,116.26386751260573,210.34488405566753,12.284258462833684,57.27048843458786,178.86196581181028,0.0,0.0005950234403173458,0.10573386224305806
KET,Lateral reticular nucleus,235,173.35356192817113,188.36843627451174,209.36663365780376,27.570694086156166,142.48272862352587,175.60655421334653,0.0,0.0,0.46476739992787597
KET,Nucleus raphe pontis,238,167.69284644232204,186.3774592018957,208.46317371040743,25.841741315614932,133.34286402036713,170.81629841906064,0.0,0.006563288856833754,0.43530472412549587
KET,Midbrain reticular nucleus retrorubral area,246,144.77365811103792,168.95692717622074,205.05205361662698,21.685312432144187,111.37429234135664,160.6187748389575,0.0,0.2635773530472413,0.29293184276956363
KET,Lateral septal nucleus caudal (caudodorsal) part,250,104.7685069608266,143.16068641740097,190.7960343673758,16.81155906446608,72.38746280085431,144.84730833702372,0.023945185719437434,0.13775694194013705,0.31792282726289217
KET,Lateral septal nucleus rostral (rostroventral) part,258,147.90364967056053,174.92171587926896,206.3821229508651,24.234471078416533,124.2359378023231,165.2577945583426,0.0,0.0035701406419040753,0.33306887847097005
KET,Reticular nucleus of the thalamus,262,143.14486186852207,181.49015521342375,198.96833247856745,22.363284295787018,127.9475869579856,173.31204047491565,0.0,0.2447529751172016,0.49145329967544177
KET,Anteroventral preoptic nucleus,263,103.23497913803088,128.143121628224,188.57553544876623,11.18292877914186,58.605205256992285,158.54795220071193,0.0010217574227671614,0.02982329606923908,0.15329967544175982
